feature,air_quality_PM2.5,air_quality_PM10,air_quality_Ozone,air_quality_Carbon_Monoxide,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_us-epa-index,air_quality_gb-defra-index,temperature_celsius,humidity,wind_kph,pressure_mb,precip_mm,uv_index
air_quality_PM2.5,1.0,0.9064137565720843,0.07798884027586249,0.5937828402194698,0.5448720012988515,0.5683135464901724,0.9301937981164584,0.9362829200457171,0.09902884622863226,-0.2874602968054509,-0.09657981600333115,0.02953419963276492,-0.2098086291139086,0.10435283553446288
air_quality_PM10,0.9064137565720843,1.0,0.15731102671343303,0.4483809100701528,0.40460058653617376,0.45828203152185987,0.8501257460514304,0.8434850552397467,0.19228037471858547,-0.35801840434335247,0.0076155701367511906,-0.04139999776940458,-0.22886870738486645,0.16309871697075615
air_quality_Ozone,0.07798884027586249,0.15731102671343303,1.0,-0.007697329589396462,-0.2613771393209718,-0.012905569060427695,0.05514735984413979,0.05283272595999667,0.24840427739319132,-0.40922113992459297,0.18955575957430867,-0.14109080075763672,-0.12316230454891988,0.35066039286807305
air_quality_Carbon_Monoxide,0.5937828402194698,0.4483809100701528,-0.007697329589396462,1.0,0.5727931904945479,0.5739737411082864,0.5651419794191624,0.5550900272550257,0.016168798500902005,-0.14034275148958109,-0.2655046304350265,0.07020034049763249,-0.06568240666754648,0.07480573757385593
air_quality_Nitrogen_dioxide,0.5448720012988515,0.40460058653617376,-0.2613771393209718,0.5727931904945479,1.0,0.7261033298638686,0.5197014116777174,0.5052337337184312,-0.20764507261966178,-0.10732174794466177,-0.19933450772213912,0.1268573004521023,-0.1339802731471693,-0.07676247437675485
air_quality_Sulphur_dioxide,0.5683135464901724,0.45828203152185987,-0.012905569060427695,0.5739737411082864,0.7261033298638686,1.0,0.542665215151883,0.5283785225656537,-0.035501885801151205,-0.23043522531021585,-0.14302158859445108,0.06472187862898639,-0.1504223488433728,0.050701272990163394
air_quality_us-epa-index,0.9301937981164584,0.8501257460514304,0.05514735984413979,0.5651419794191624,0.5197014116777174,0.542665215151883,1.0,0.9329781668888293,0.10483830825769061,-0.2818687269569226,-0.07944483964939217,0.012120196585303541,-0.18224288088683138,0.10970403821553874
air_quality_gb-defra-index,0.9362829200457171,0.8434850552397467,0.05283272595999667,0.5550900272550257,0.5052337337184312,0.5283785225656537,0.9329781668888293,1.0,0.10435037755561041,-0.2785506672933787,-0.0655588210773471,0.0012788021995434132,-0.17555888200964584,0.09355844109076165
temperature_celsius,0.09902884622863226,0.19228037471858547,0.24840427739319132,0.016168798500902005,-0.20764507261966178,-0.035501885801151205,0.10483830825769061,0.10435037755561041,1.0,-0.34886206369157857,0.14010205368828454,-0.4377224270445438,0.039949660204317214,0.49828745784949763
humidity,-0.2874602968054509,-0.35801840434335247,-0.40922113992459297,-0.14034275148958109,-0.10732174794466177,-0.23043522531021585,-0.2818687269569226,-0.2785506672933787,-0.34886206369157857,1.0,-0.11606366563391322,0.006844933176249351,0.3371421171082505,-0.5515636978357076
wind_kph,-0.09657981600333115,0.0076155701367511906,0.18955575957430867,-0.2655046304350265,-0.19933450772213912,-0.14302158859445108,-0.07944483964939217,-0.0655588210773471,0.14010205368828454,-0.11606366563391322,1.0,-0.17488622406396584,0.06238762441202513,0.08048678104506599
pressure_mb,0.02953419963276492,-0.04139999776940458,-0.14109080075763672,0.07020034049763249,0.1268573004521023,0.06472187862898639,0.012120196585303541,0.0012788021995434132,-0.4377224270445438,0.006844933176249351,-0.17488622406396584,1.0,-0.2082912927333273,-0.10504969260524841
precip_mm,-0.2098086291139086,-0.22886870738486645,-0.12316230454891988,-0.06568240666754648,-0.1339802731471693,-0.1504223488433728,-0.18224288088683138,-0.17555888200964584,0.039949660204317214,0.3371421171082505,0.06238762441202513,-0.2082912927333273,1.0,-0.09673071605996711
uv_index,0.10435283553446288,0.16309871697075615,0.35066039286807305,0.07480573757385593,-0.07676247437675485,0.050701272990163394,0.10970403821553874,0.09355844109076165,0.49828745784949763,-0.5515636978357076,0.08048678104506599,-0.10504969260524841,-0.09673071605996711,1.0
