feature,importance
latitude,0.3901221537944639
uv_index,0.2868474924907149
pressure_mb,0.11910429456595924
dayofyear,0.06982938678250353
longitude,0.04104220169826865
humidity,0.030947407295888532
air_quality_Carbon_Monoxide,0.010385007694649038
air_quality_Ozone,0.009341783569401033
air_quality_PM10,0.008903578608058672
air_quality_PM2.5,0.007913749393394936
cloud,0.007239632534450499
wind_kph,0.006962838606139482
gust_kph,0.0057805553962194745
month,0.0026716034630804735
visibility_km,0.0015398899576605652
precip_mm,0.001368424149147025
