country,temperature_celsius
Saudi Arabien,45.0
Marrocos,40.3
Turkménistan,37.8
Турция,34.0
Qatar,32.346174142480216
United Arab Emirates,32.20789473684211
Cambodia,31.99222661396574
Oman,31.79105263157895
Djibouti,31.34346103038309
Thailand,31.22067149440421
Bangladesh,31.21212121212121
Inde,31.2
Myanmar,30.9175
Kuwait,30.796179183135703
Saudi Arabia,30.64874835309618
Malaysia,30.60263504611331
Philippines,30.454150197628458
Sri Lanka,30.240000000000002
India,30.22994722955145
Singapore,29.959605263157894
